# Skin -- 48 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
NK cell	11616	KLRD1;XCL2;XCL1;PRF1;GZMA;IL2RB;GNLY;KLRC1;IFNG;KLRF1;CLIC3;GZMB;SH2D2A;SH2D1B;CTSW;SAMD3;IL18RAP;APOBEC3G;GZMH;S1PR5;ADGRE5;ARHGAP9;PRKX;PYHIN1;PRKCH;TNFSF14;NCR3;STAT4;TRDC;CASP4;CCDC107;PLAAT4;RASSF5;TRGV9;FASLG;SH2D1A;FAM177A1;PTPN4;PDE4D;HELZ;CD96;MAP3K8;TRBC1;HSH2D;ACAP1;PTGDR;SESN1;ZBTB1;TXK;SPSB3	CL:0000623	natural killer cell	CL:0000814 mature NK T cell | CL:0001049 activated CD8-positive, alpha-beta T cell, human | CL:0001050 effector CD8-positive, alpha-beta T cell | CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0001065 innate lymphoid cell			
Helper T cell	9327	RCBTB2;CCDC107;MPZL3;EML4;TRAT1;CD40LG;PRKX;CD96;PCSK7;LINC-PINT;RBMS1;ANKRD28;LINC00869;LPAR6;PRG2;MECP2;P2RY10;DUSP4;RICTOR;NKTR;FKBP11;NBAS;PTGER4;ACAP1;SNHG12;DONSON;CD6;PIK3IP1;IDS;NHSL2;ZBTB25;LY9;CLK1;CCSER2;EVI2A;OGA;CARD19;SPSB3;EVI2B;ZC3HAV1;SLFN5;CLEC2D;WIPF1;SFXN1;SPTAN1;SPOCK2;CDKN1B;DNAJB9;THEMIS;TRBC2	CL:0000912	helper T cell	CL:0000910 cytotoxic T cell | CL:0000912 helper T cell | CL:0000907 central memory CD8-positive, alpha-beta T cell | CL:0001069 group 2 innate lymphoid cell | CL:0002419 mature T cell			
Lymphoid cell	8783	SNORD100;EEF1A1P5;SNORA70;SNORD72;SNORA31;SNORA52;SNORA7A;MIR6797;MIR6805;SNORA33;SNORD36B;SNORA62;SNORD35A;SPTAN1;SNORD58A;CHD2;ZNF331;IDS;SNORD21;MIR6850;ADGRE5;PRG2;SIAH2;RALGAPA1;CCDC107;TMSB4XP8;MIR7111;DEDD2;JOSD1;CCDC88C;SNORD83A;DIAPH1;PTGER4;AAK1;MIR3648-1;SPTY2D1;CYLD;SIK3;SUN2;NEU1;ESYT2;ACAP1;ZC3HAV1;FAM177A1;EML4;MDFIC;STAT4;TTC39C;ATF7IP;CSRNP1	CL:0000542	lymphocyte	CL:0002620 skin fibroblast | CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:0000839 myeloid lineage restricted progenitor cell | CL:0008001 hematopoietic precursor cell			
T cell	8141	CHD2;LINC00513;CCDC107;ZNF331;CCR6;CCDC88C;SPTAN1;IDS;ZBTB1;ANKRD44;RALGAPA1;ACAP1;RNF213;CYLD;ADGRE5;AAK1;PDE7A;PRG2;CDC14A;RNF125;TNFRSF25;PCSK7;KMT2A;EML4;TRAT1;PRDM2;RCAN3;SLFN5;JOSD1;ZC3HAV1;SUN2;SPTY2D1;MAP3K2;PTGER4;ATF7IP;FAM177A1;KDM2A;DIAPH1;KLF13;CDKN1B;HCG18;SIK3;KAT6A;CCSER2;CNOT6;VPS13C;TMF1;FRYL;BRD1;TTC39C	CL:0000084	T cell	CL:0001049 activated CD8-positive, alpha-beta T cell, human | CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0000775 neutrophil | CL:0001069 group 2 innate lymphoid cell | CL:0001071 group 3 innate lymphoid cell			
Myeloid cell	7614	FTH1P8;SNORA31;EEF1A1P5;SNORA70;SNORD100;SNORD72;TMSB4XP8;SNORA7A;SNORA52;SNORD21;MIR3648-1;SNORD36B;MIR6850;FCGR2B;MIR6805;S100A5;MIR6797;FTH1P1;SNORD55;SNORA33;SNORD35A;SNORD58A;MIR1244-1;FTH1P2;SNORA62;FTLP2;ZNF331;MIR7111;PTMAP4;EMILIN2;MIR3064;RASGEF1B;FPR3;SNORD83A;CHD2;MAPK1;H3P16;RNASEK-C17orf49;CSRNP1;HSPA6;CD4;SYVN1;FBXO11;FTH1P20;SNORD50B;HLA-DOA;PPP1R15B;RASSF5;SNORD68;GNS	CL:0000763	myeloid cell	CL:0002620 skin fibroblast | CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:0000451 dendritic cell | CL:0000782 myeloid dendritic cell			
Muscle satellite cell	5767	MYF5;FGFR4;C1QTNF3;CHODL;TSPAN12;NPY;CDKN1C;CLCN5;RAPSN;EDN3;CHRNA1;LDOC1;SPATS2L;PAX7;MSC;JSRP1;PEG10;NRK;MSTN;HEY1;PEG3;CDH15;POPDC3;LANCL2;MYF6;KLHL13;SLC25A26;DNAJB4;SYTL2;GLIPR2;PSAT1;CHRNB1;PHACTR2;NCALD;SIX1;FAM174A;DAG1;SKP2;PCDH7;NKAIN4;MATN2;CDK8;GLT8D2;NES;GNG10;PON2;ITIH5;FLNC;ARMCX1;CDC25B	CL:0000514	smooth muscle myoblast	CL:0000594 skeletal muscle satellite cell | CL:0000188 cell of skeletal muscle | CL:0011115 precursor cell | CL:0000071 blood vessel endothelial cell | CL:0000837 hematopoietic multipotent progenitor cell			
Myofibroblast	5228	OGN;SPON2;PTCH2;COL21A1;ENTPD2;CDO1;PRSS35;POSTN;ANGPTL1;LDB2;LTBP4;EGFL6;FLRT2;SGCE;BNC2;MFAP5;CERCAM;SEMA5A;ASPN;AKAP12;FKBP10;F10;PI16;CLEC3B;DKK2;ISLR;GSTM2;TUSC3;EFEMP2;PPIC;EPB41L2;GALNT16;KDELR3;LRRC17;GLT8D1;DKK3;CAPN6;OLFML1;PLOD1;WLS;CD248;FBXO17;EFNB1;CNTN1;TMEM119;RBMS3;P3H1;FKBP7;IGFBP6;ZFHX4	CL:0000186	myofibroblast cell	CL:0000186 myofibroblast cell | CL:0000134 mesenchymal stem cell | CL:0002320 connective tissue cell | CL:0000057 fibroblast | CL:0000183 contractile cell			
Mast cell	4950	MS4A1;ADCYAP1;CALB2;CMA1;UTS2;KCNMA1;HPGD;TPSAB1;VWA5A;STX3;MIR202HG;GCSAML;MAOB;LAX1;HS6ST1;LEO1;RHEX;TPSB2;CTSG;NDST2;ZNRF1;PEPD;KIT;SVOPL;LIF;MEIS2;NMT2;RHOBTB3;PRKX;MAPK1;ALDH1A1;SYAP1;MLPH;AP1S3;MSRA;RNF145;TSPAN4;RPS6KA5;PALM2AKAP2;SLC18A2;PRG2;NEU1;LINC02829;SLC38A11;C17orf49;ARHGEF6;OSBPL8;BLVRA;NEK6;DUSP10	CL:0000097	mast cell	CL:0000236 B cell | CL:0000819 B-1 B cell | CL:0000816 immature B cell | CL:0000785 mature B cell | CL:0000822 B-2 B cell			
Enteric glial cell	4377	GFRA3;MOXD1;MPZ;EGFL8;LINC01198;RXRG;COL20A1;GFRA1;FOXD3-AS1;GPR17;NRXN1;TTYH1;GFRA2;CRABP1;C1orf198;GAS7;FIGN;PLAT;ERBB3;AFAP1L2;COL19A1;PTPRZ1;BCHE;CDH19;MRTFA;SEMA3B;PMP2;FLRT3;OLFML2A;NPPC;CADM4;GULP1;INSC;COL2A1;DGKB;APOA1;NCAM2;PTX3;PCDHGA5;COL5A3;SLITRK6;SECISBP2L;SLC35F1;THSD7A;STARD13;NTM;SEMA3C;CDH6;ADGRG6;ARHGEF26	CL:4040002	enteroglial cell	CL:0000125 glial cell | CL:0000095 neuron associated cell | CL:0002319 neural cell | CL:0000990 conventional dendritic cell | CL:0000576 monocyte			
Melanocyte	4321	MLANA;DCT;TYRP1;PMEL;TRPM1;TYR;SLC24A5;BCAN;GPR143;MITF;MYO5A;FMN1;MCOLN3;QPCT;CHCHD6;MYO10;SLCO4A1-AS1;DSTYK;GPR155;ADGRG1;CTSF;PRELP;TBC1D16;TFAP2B;PCSK2;CA14;CYTH3;FRZB;CYB561A3;SLC1A4;OSTM1;SLC18A1;NSG1;LGI3;CPQ;MFSD12;AOPEP;OCA2;INPP4B;GCNT2;SLC6A15;LSAMP;MOK;CLCN7;BACE2;PLXNC1;ALX1;SLC6A17;VEPH1;ENPP2	CL:1000458	melanocyte of skin	CL:1000449 epithelial cell of nephron | CL:0000148 melanocyte | CL:0000075 columnar/cuboidal epithelial cell | CL:0001064 malignant cell | CL:1000458 melanocyte of skin			
