# Ovary -- 8 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Myoid cell	4089	NPW;MFAP4;PCOLCE;TSHZ2;SFRP1;ISLR;PDGFRA;EMILIN1;OLFML3;LTBP4;TCF21;GPC3;BGN;VCAN;COL6A2;PRRX1;CDH11;COL6A3;TGFB1I1;MMP11;POSTN;PTK7;PLAT;PDGFRB;CDC42EP1;PYCR1;COL18A1;STING1;CXCL12;WLS;MEIS1;TLE1;ALDH1A2;CNTFR;EVA1B;CD248;RND3;NFIB;CCND3;FKBP10;BZW2;PCLAF;C1QTNF4;DES;PPP1R14A;PDLIM4;GPX7;SMAD5;TMEM109;FKBP7	CL:0002481	peritubular myoid cell			
Leydig cell	2808	DPEP1;MT3;MGARP;CCND1;CRYM;TVP23A;TM7SF2;CAV2;LSAMP;S100A6;DSEL;NPDC1;DEXI;IFI27;PRKAR2B;PLAAT3;TOX3;CNTNAP4;DUSP15;LZTS1;HRNR;FOXL2;LRRC17;DPYSL3;IRX3;OSBPL1A;DMKN;CCDC80;CAVIN3;MID1IP1;CHCHD6;PROCR;PEG3;GOLGB1;STAT3;PBX1;CLU;LGALS3;FAM215B;SMARCD3;CBR1;SSBP3;COL11A1;NFIA;HOPX;GATA6-AS1;ETNK2;NSG1;SPAG16;NHLRC3	CL:0000178	Leydig cell			
Epithelial cell	2440	BTG2;GATD3A;EGR1;SNHG29;MT1L;KITLG;KLF10;SNHG6;GAS5;PRKAR2B;ARL5B;MATR3;NR4A1;FOSB;DNAJB1;SELENOF;ZFP36;PPP1R15A;GJA1;SEPTIN2;EGR2;SERPINB9;CLK1;SLC2A3;CSRNP1;CCN1;SEPTIN7;NR4A2;GADD45B;EGR3;SNHG5;DIRAS3;MBNL3;TOX3;CYSTM1;VEGFA;CAV2;EMX2;MCL1;CAV1;PTP4A1;TIPARP;TIMP2;ZNF331;RELN;EGLN1;JUNB;PEG3;LHX9;DUSP12	CL:0000066	epithelial cell			
Germ cell	1601	GAS5;IMMT;SEPTIN7;OIP5-AS1;PSMD10;SNHG29;MATR3;GTSF1;LUZP4;SYCP3;UHRF2;SNHG16;SNHG5;SNRPGP10;CLK1;SEPTIN2;TTK;ZNF83;DPPA5;SNHG6;HNRNPA1P48;BUB1B;C5orf58;DNAJB1;UBE2C;CMC2;DAZL;PMAIP1;CSE1L;CCNB1;DPPA3;UBE2T;PAGE2B;TCL1A;ZFAND2A;DLD;HPRT1;DSCR8;DDX4;TEX30;OOEP;LAMTOR3;HENMT1;MAT2B;PARP4;CFLAR;OAT;APOC1;BCCIP;MAD2L1	CL:0000586	germ cell			
Fibroblast	1042	SNHG6;SNHG5;SNHG29;DNAJB1;GAS5;GATD3A;FOSB;NUPR1;PPP1R15A;SPARCL1;EGR1;HSPA1A;ID2;DANCR;OLFML3;NID2;ZFP36;DCN;C1S;OGN;CXCL10;COL5A1;CLK1;GADD45B;ADAMTS1;JUNB;SELENOP;NID1;MATN2;SELENOF;COL6A1;C1R;SEPTIN7;APOD;SNHG1;TCIM;RN7SL832P;IRF1;TCF21;FOS;COL6A3;DLK1;NR4A1;KLHDC8A;COL18A1;PPP1R14A;FN1;IFITM1;TIMP2;CCN1	CL:0000057	fibroblast			
Sertoli cell	670	REG3G;TAC1;GSTA1;BIK;PLAAT1;MME;SYNDIG1;DPP10-AS1;WNT6;LYPD1;FHIT;PHLDA1;SLMAP;TDGF1;PLAC1;GADD45G;APOBEC3C;MAPK13;PPP1R1A;DIPK2A;GATM;SORD;CCDC73;TSPAN8;GATA4;SETDB2;H2BC21;HSD17B12;HBZ;CRMP1;PLEKHH2;APOBEC3G;DPP10;MMD;SFXN1;C15orf48;HBE1;CPE;FJX1;CRLF1;HPCAL1;SYCN;PSMD9;LY6H;LRRN3;MOV10;TSPAN7;LRRTM1;APOBEC3H;HBA1	CL:0000216	Sertoli cell			
Oocyte (Ootid/Ovum)	662	ASRGL1;NANOS3;ETV4;TCL1B;L1TD1;PDPN;UPP1;SOX15;SLC66A3;TEAD4;MINDY2;PPM1N;SAP25;FAM162B;PHLDA3;MYBL2;KIF9;ACTG2;CENPS;POU5F1;TENT5B;DPPA4;NANOG;PDLIM1;PIM2;TOR3A;ALPL;MAP7D2;KHDC3L;APOO;NR6A1;UACA;PCSK1N;GPHA2;BTG3;ZBED5-AS1;CENPH;CERT1;TMEM170A;PPAN;HELLS;SCGB3A2;RRP9;APOC1;IMPA2;CHEK1;HENMT1;TEX30;DND1;ELOVL6					
Endothelial cell	532	CD34;PCAT19;TM4SF1;GNG11;VWF;CDH5;TM4SF18;HSPG2;CLDN5;CALCRL;EMCN;EMP1;TCIM;ESAM;ITM2A;ENG;TIE1;CLEC14A;ANXA2;TMEM88;EPAS1;CAVIN2;FLT1;NOSTRIN;FN1;VAMP5;PRCP;ICAM2;ROBO4;APLNR;ADGRL4;EFNA1;PECAM1;SPARCL1;MYCT1;ID3;TFPI;CD93;EGFL7;PLVAP;WWTR1;A2M;LIMCH1;DIPK2B;KDR;TAGLN2;LDB2;PTPRB;ECM1;C1orf54	CL:0000115	endothelial cell			
