# Muscle -- 23 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Pericyte	2354	GUCY1A2;GJA4;NOTCH3;CLMN;HIGD1B;ITGA7;MYO1B;PDGFRB;GUCY1A1;COX4I2;CPE;GPAT2;EPS8;UBA2;FHL5;STEAP4;CSRP1;GUCY1B1;HES4;CYTOR;ISYNA1;ARHGEF17;KLHL23;TNS1;C1QTNF1;MYLK;TBX2;DAAM2;MTHFD2;NDRG2;CAMK2N1;BCL6;FRMD3;AVPR1A;SPECC1;IRAG1;FILIP1L;SSTR2;CDC42EP4;NDUFA4L2;LMOD1;CLTB;ABCC9;EGFLAM;PMEPA1;COL27A1;GRK5;TGFB1I1;PACSIN2;OAZ2	CL:0000669	pericyte	CL:0000669 pericyte | CL:0008034 mural cell | CL:4033054 perivascular cell | CL:0000192 smooth muscle cell | CL:0019018 blood vessel smooth muscle cell			
Satellite cell	2298	APOC1;CHRDL2;APOE;MYF5;EDN3;NPPC;CHRNA1;PAX7;CADM2;OLFML2B;TUBB2B;GABARAP;CXXC5;CITED2;ARID4A;DLK1;SPG21;FGFR4;ATP6V0C;SGCA;RIN2;RASD1;NUPR1;LINC01579;MYF6;ALDH1A1;TPD52;NFIA;SPRY1;MRTFA;DAG1;JSRP1;YPEL3;RNASE4;POLA2;PON2;HEYL;PDLIM4;SPATS2L;RARRES2;KLHL24;PPP1R10;DDT;RNASEK;MLF2;ANGPTL4;NOSIP;EIF3L;ESD;SIRT2	CL:0000514	smooth muscle myoblast	CL:0008011 skeletal muscle satellite stem cell | CL:0000594 skeletal muscle satellite cell | CL:0000034 stem cell | CL:0011115 precursor cell | CL:0000576 monocyte			
Tendon cell	2226	TNMD;GCG;KERA;PRSS35;FMOD;COL11A1;ASPN;THBS4;OGN;CTHRC1;COL5A2;COL5A1;ECRG4;FBN2;MEST;COL12A1;FNDC1;CRABP1;SEC61G;MAGED2;SOSTDC1;PTN;SNHG5;IL11RA;SSR2;POSTN;MEOX2;TMEM258;PRDX4;FKBP10;CHODL;SNHG32;OSTC;ARF4;NDUFB6;UQCRQ;DYNLT1;GAS2;BANF1;KDELR2;DECR1;P4HB;PPIB;SEC13;CYTL1;ATP5MC3;ATP5PO;GTF2H5;UQCR10;PRDX2	CL:0000388	tendon cell	CL:0000388 tendon cell | CL:0000764 erythroid lineage cell | CL:0000499 stromal cell | CL:0000057 fibroblast | CL:0002320 connective tissue cell			
Capillary endothelial cell	1968	MSX1;FCN3;TSPAN13;CX3CL1;AIF1L;KIAA1217;CD300LG;GALNTL5;CLIC6;CCNA2;SLC14A1;LRRC8A;PLK2;NCOA3;KDR;LPAR6;CMTM8;TIE1;LIMCH1;SGK1;SYNE1;MEF2A;ABLIM3;PIK3R3;IFNGR1;PLXNA2;FADS3;GPRC5B;WARS1;CAPN2;CD82;TSPAN14;CCNY;PODXL;KANK3;TIMP4;LNX1;MXD4;RAPGEF1;IGFBP3;GARRE1;CARD8;ADIPOR2;TLE4;TCIM;RNF125;CD2AP;MCC;TEK;EFNB1	CL:0002144	capillary endothelial cell	CL:1000412 endothelial cell of arteriole | CL:0002144 capillary endothelial cell | CL:0000071 blood vessel endothelial cell | CL:0000076 squamous epithelial cell | CL:0002139 endothelial cell of vascular tree			
Megakaryocyte	1779	XAF1;IFI6;IFI44L;HERC2;IFIT3;ATP2B4;NKTR;ACE;C1orf21;HIF3A;HLA-F;MCF2L;TNFSF10;IGF2;GIMAP7;NOTCH4;EGFL7;GIMAP4;PARP14;SOX18;ANKRD29;UACA;TSPAN18;TMEM88;PHACTR2;DST;KCNQ1OT1;PLCG2;PDGFB;CA4;SOX17;IFIT1;CDKN1C;AFDN;GBP4;MX1;GIMAP1;GIMAP8;TMEM204;ID1;DEPP1;ENAH;FRMD4A;RUNX1T1;ADD1;RAPGEF3;HMCN1;CDC42BPA;HLA-DRB5;KLF2	CL:0000556	megakaryocyte	CL:0000860 classical monocyte | CL:1000412 endothelial cell of arteriole | CL:1000414 endothelial cell of venule | CL:0002144 capillary endothelial cell | CL:1000413 endothelial cell of artery			
Neuron	1616	C1QTNF3;NPY;GPC3;SNHG5;MATN2;SNHG32;SPRY1;MEST;AKR1B1;SNRPE;CD82;ZFAS1;OSTC;GLT8D2;ATP5PO;WDR83OS;SNRPB2;ATP5F1A;COL5A1;RBIS;ATP5MC3;TSPAN12;IMPDH2;ESD;SMIM26;TMEM258;TCEAL9;RPL22L1;MAGED2;POLR2G;EIF3M;UQCRH;TBCA;UQCRQ;HSBP1;ATP5PB;PSMB7;OST4;ERGIC3;SEC61G;TRMT112;VDAC1;ATP5MC1;TIMM13;SNRPF;EIF3H;MRPL51;SPATS2L;SEPTIN2;MRPS21	CL:0000540	neuron	CL:0000764 erythroid lineage cell | CL:0000499 stromal cell | CL:0002319 neural cell | CL:0002576 perineurial cell | CL:0000138 chondrocyte			
Lymphoid cell	1254	RNF213;IDS;CD3E;TGFB1;EVL;LINC-PINT;PRG2;SKAP1;GZMM;ACAP1;SPNS1;PIK3R1;FAM133B;RESF1;ANKRD11;ABHD17A;TSPYL2;SOCS1;CRYBG1;EPC1;TRAC;PCSK7;KMT2A;LTB;IKZF1;GTF3A;TCF25;SEPSECS;FAM107B;DDX24;GSTK1;CD3G;CCND3;ATXN7;LCK;PLAAT4;KLF13;SSR2;UBE2D2;CYLD;ICAM3;DOCK8;ANKRD44;FNBP1;CCDC88C;TBC1D10C;RNF125;ATM;HLA-F;RORA	CL:0000542	lymphocyte	CL:0001062 effector memory CD8-positive, alpha-beta T cell, terminally differentiated | CL:0000909 CD8-positive, alpha-beta memory T cell | CL:0000813 memory T cell | CL:0000084 T cell | CL:0000939 CD16-positive, CD56-dim natural killer cell, human			
Adipocyte	1158	CAPN5;IGF1;SCN7A;MYOC;RND3;C3;BMP4;HSD11B1;CNTN1;MME;ITIH5;ABCA8;CCN2;APOD;FST;FXYD1;ADH1B;LARP6;PDGFRL;PI16;HMCN2;FBLN5;GADD45G;AGTR1;COL15A1;ABCA6;EIF4A1;SDC2;ECHDC2;SSPN;FIBIN;ANGPTL1;ACVRL1;PTGDS;PDGFRA;CCN1;VIT;LAMA2;CFH;PID1;NOVA1;LGALS3BP;EGFR;PGF;SGCE;LTBP4;SERPINF1;PODN;FMO4;SMOC2	CL:0000136	adipocyte	CL:0000136 adipocyte | CL:0011027 skeletal muscle fibroblast | CL:0000134 mesenchymal stem cell | CL:0000388 tendon cell | CL:0000034 stem cell			
Erythrocyte	940	HBB;HBA1;HBG1;HBA2;AHSP;ALAS2;HBG2;HBZ;LRP5;GYPB;GYPA;SNCA;SLC4A1;SLC25A39;HEMGN;SLC25A37;BPGM;PRDX2;MAGED2;UROD;GPC3;GYPC;MEST;NDUFB6;HBE1;COL5A1;COL5A2;PTN;BNIP3L;FECH;WDR83OS;UQCR10;ATP5MF;SNHG5;HMBS;SNRPE;PCLAF;RBX1;UQCRQ;FAM210B;ATP5F1A;ANAPC11;NDUFA6;HBQ1;TIMM8B;CMTM3;PSMB7;TMEM258;SNRPB2;ATP5PO	CL:0000232	erythrocyte	CL:0000232 erythrocyte | CL:0000764 erythroid lineage cell | CL:0000138 chondrocyte | CL:0000081 blood cell | CL:0000151 secretory cell			
Inflammatory cell	644	S100A12;CSTA;SERPINA1;ATP2B1-AS1;S100A8;CFP;TNFSF13B;MNDA;STXBP2;FCN1;SLC11A1;CLEC12A;RILPL2;APOBEC3A;CLEC7A;LST1;PGLS;JAML;CD300E;CSF3R;BASP1;TREM1;AREG;EREG;GK;LTA4H;FPR1;MXD1;CD68;DDR2;LILRA5;EVI2B;NCF2;SELL;NUP214;NCF1;CARD16;FGR;C19orf38;PPIF;ADA2;GCA;PLBD1;MCEMP1;SLC7A7;AGTRAP;PILRA;ADGRE2;VSIR;LILRB2	CL:0009002	inflammatory cell	CL:0000860 classical monocyte | CL:0000096 mature neutrophil | CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0000081 blood cell			
Myeloid cell	599	HLA-DQA1;HLA-DPB1;HLA-DRB6;HLA-DPA1;HLA-DMA;HLA-DQB1;CD1C;IFI30;HLA-DQA2;HSPA6;FCER1A;HLA-DMB;NAPSB;HSPA1B;HLA-DRB1;ZYX;PSME2;CPVL;SYNGR2;FCGR2B;ZFAND2A;CD83;ATP5MF;PKM;WDR83OS;UCP2;ATP5PB;SAMHD1;CD68;PLIN2;SCGB1D1;PRDX3;CAP1;PPT1;RGS1;PRR13;GRINA;VPS29;NAT8;IRF8;CCL3;CKS2;EIF4A3;PTPN6;ATP6V0C;GPX4;DDIT3;NDUFB1;CIAO2A;TMEM176B	CL:0000763	myeloid cell	CL:0000990 conventional dendritic cell | CL:0000451 dendritic cell | CL:0000787 memory B cell | CL:0000785 mature B cell | CL:0000788 naive B cell			
Fast skeletal muscle cell	566	MYL1;MYLPF;ENO3;SLN;CKM;TCAP;MYOZ1;TNNC2;MB;COX6A2;MYBPC1;TNNT3;TNNI2;ATP2A1;CA3;ACTA1;MYH2;PGAM2;ACTN2;MYOT;MYBPC2;PYGM;DES;CSRP3;RPL3L;GAMT;ADSS1;CMYA5;APOBEC2;SMPX;PGM1;XIRP2;BIN1;HSPB7;MTLN;EEF1A2;SLC25A4;FHL3;S100A1;TRDN;PFKM;NRAP;CASQ1;ANKRD2;LMOD2;PPP1R1A;MYL2;HSPB6;NEB;PPDPFL	CL:0000188	cell of skeletal muscle	CL:0000190 fast muscle cell | CL:0002212 type II muscle cell | CL:0000864 tissue-resident macrophage | CL:0000867 secondary lymphoid organ macrophage | CL:0008046 extrafusal muscle fiber			
CD8 T cell	531	FTH1P23;FTH1P16;H3-5;FTH1P8;UBBP4;FTH1P7;TMSB4XP2;FTLP2;PTMAP5;FTH1P11;TMSB4XP1;CALM2P2;PTMAP2;FTH1P12;BCAS4;HMGB1P5;FTLP3;HMGB1P6;CALM2P3;PTMAP4;FTH1P10;EEF1A1P11;FAUP1;FTH1P20;NPM1P27;RGS1;HMGB1P10;TMSB4XP8;FTH1P4;HSP90AA2P;SAR1A;TMSB4XP4;EIF1P5;EEF1A1P9;HSPE1P2;EEF1A1P5;EEF1A1P13;EEF1A1P19;PFN1P1;PRDM1;CD8A;EEF1A1P6;HMGB1P1;C16orf54;PTMAP8;SNRPGP2;FTH1P3;SNRPGP10;PARP8;HSPE1P4	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000081 blood cell | CL:0000094 granulocyte | CL:0000096 mature neutrophil | CL:0000775 neutrophil | CL:0002319 neural cell			
