# Intestine -- 20 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Stromal cell	4119	CFD;GPX3;APOD;CXCL10;CXCL14;MGP;LUM;DPT;NUPR1;TNFAIP6;C1S;CCDC80;GPNMB;DCN;SOCS3;MFAP5;PTGDS;TIMP2;C1R;CYBRD1;FGF7;CXCL12;SNHG6;FBLN5;SRPX;MGST1;PLAC9;SERPINF1;S100A4;IGFBP6;CTSK;TSPO;CCL2;SNHG5;SFRP2;CLU;C3;EIF4A3;PODN;FBN1;S100A13;MYC;NNMT;LHFPL6;EFEMP1;CPB1;EGR1;IFI27;ELOC;SNHG29	CL:0000499	stromal cell	CL:0000865 gastrointestinal tract (lamina propria) macrophage | CL:0000235 macrophage | CL:4040002 enteroglial cell | CL:0000057 fibroblast | CL:0000766 myeloid leukocyte			
Fibroblast	3741	TUBB2A;CTSK;SERPINF1;ARID4A;IGFBP6;PLAC9;C1QTNF3;BTN3A3;NUPR1;SELENOM;CCDC80;GEM;TIMP2;DPT;RARRES2;S100A4;C1S;MATN2;TSPO;SERTAD1;RNASEH1P1;SFRP2;GPNMB;TNXB;HTRA1;CCL2;CFH;ISLR;MGP;PRNP;SOCS3;ARL6IP1;ID2;ANXA5;PID1;SPARCL1;PXMP2;THBS1;C1R;ABI3BP;MYADM;GATD3A;OGN;IFI27L2;FBN1;SERPINE2;FN1;DNAJB1;SPON2;CLU	CL:0000057	fibroblast	CL:0000865 gastrointestinal tract (lamina propria) macrophage | CL:0000057 fibroblast | CL:0000029 neural crest derived neuron | CL:0000235 macrophage | CL:4040002 enteroglial cell			
Goblet cell	3327	FCGBP;CLCA1;PGC;MUC2;XBP1P1;C6orf58;MUC6;TFF2;TFF3;BPIFB1;MUC1;FMOD;LIPF;GOLM1;FAM3D;ZG16B;CA2;TSPAN13;TM9SF3;AGR2;CD24;LYZ;RNASE1;TSPO;ST6GALNAC1;TSPAN1;GATD3A;SLC12A2;IER3;TOB1;RASD1;BTG2;IFI27;AQP5;ID2;LCN2;TMEM59;FXYD3;WFDC2;KLK1;ANXA4;ALDH1A1;PTP4A1;DNAJC10;JUND;GFPT1;ELAPOR1;TMED10;ERGIC1;DNAJB1	CL:0019031	intestine goblet cell	CL:0019031 intestine goblet cell | CL:0000160 goblet cell | CL:0000150 glandular secretory epithelial cell | CL:0000151 secretory cell | CL:0001061 abnormal cell			
Macrophage	2070	CCL4;CCL4L2;CCL3;GPX1;CXCL2;CXCL8;CCL3L3;CXCL3;NR4A2;IER3;LYZ;MS4A4A;RGS1;RGS2;C1QB;IL1B;EIF4A3;SCGB1D1;CPVL;HLA-DPB1;GPR183;HLA-DQB1;VSIG4;HLA-DPA1;C1QA;CD83;S100A4;SOD2;GPNMB;HLA-DQA1;CD163;MS4A6A;FTLP3;TSPO;CTSS;PPT1;ACP5;TMSB4XP4;HLA-DMA;HLA-DRB5;NFKBIA;HLA-DMB;HLA-DRB1;LGMN;APOC1;NR4A3;FGL2;C1QC;CTSB;PRNP	CL:0000235	macrophage	CL:0000798 gamma-delta T cell | CL:0000576 monocyte | CL:0011026 progenitor cell | CL:0000766 myeloid leukocyte | CL:4033069 cycling T cell			
Erythrocyte	1391	HBG1;AHSP;ALAS2;HBM;HBA1;HBZ;GYPB;HBA2;HBG2;GYPA;SLC4A1;HEMGN;HBQ1;FECH;BPGM;MYL4;HMBS;SNCA;EPB42;SLC25A39;STRADB;SMIM1;KLF1;FAM210B;ADIPOR1;MPP1;HBE1;UROD;HBB;GMPR;GLRX5;TESC;RHAG;HAGH;NFE2;NUDT4;CCNDBP1;SELENBP1;BLVRB;TMOD1;C17orf99;DCAF12;EIF2AK1;SLC25A37;SLC2A1;PCGF5;GYPE;BCL2L1;R3HDM4;UBAC1	CL:0000232	erythrocyte	CL:0011026 progenitor cell | CL:0000763 myeloid cell | CL:0000766 myeloid leukocyte | CL:0000723 somatic stem cell | CL:0002139 endothelial cell of vascular tree			
Mesothelial cell	1016	ITLN1;SLPI;ADH1B;SERPING1;DLC1;SOD2;EFEMP1;C3;RARRES1;PLA2G2A;OGN;NNMT;COL8A1;CCL2;ANXA1;CLU;UPK3B;C1R;MYC;CCN1;DNAJB1;CCDC80;PRG4;C1S;NFKBIA;KLF10;TIMP1;CLDN1;MSLN;ID2;RARRES2;CALB2;BCHE;IFI27;TFPI2;DNAJA1;NR4A1;ARL4D;CFI;LXN;FOSB;IER3;SEMA3C;AOX1;PPP1R15A;TM4SF1;PROCR;IER2;CXCL1;GFPT2	CL:0000077	mesothelial cell	CL:0000865 gastrointestinal tract (lamina propria) macrophage | CL:0019031 intestine goblet cell | CL:4040002 enteroglial cell | CL:4030006 fallopian tube secretory epithelial cell | CL:0000057 fibroblast			
Smooth muscle cell	811	TAGLN;ACTA2;MYH11;MYLK;SELENOM;PPP1R14A;SOD3;CNN1;CSRP1;THBS1;MFGE8;SPARCL1;CRISPLD2;RERGL;ACTG2;RGS5;C11orf96;FLNA;CSRP2;MYL9;TSPO;ADAMTS1;HSPB6;PLN;BGN;S100A4;PLAC9;DSTN;SERTAD1;BCAT2;SMIM29;NT5C3A;COX7A1;TUBB2A;CAVIN3;SORBS2;RND3;CCL2;ELOC;CRYAB;SRFBP1;PDLIM3;SOCS3;HCFC1R1;ALDOA;RHEBP1;BTN3A3;MRPL33;NUPR1;LPP	CL:0000192	smooth muscle cell	CL:0000359 vascular associated smooth muscle cell | CL:0000192 smooth muscle cell | CL:0000183 contractile cell | CL:0000057 fibroblast | CL:4033054 perivascular cell			
CD8 T cell	782	ADI1;ALDOA;TSPO;DPEP1;FUOM;LDLR;SLC25A25;NDUFA13;GLRX;TMEM107;FBP1;GSTK1;CISD3;HPS5;HEBP1;COMTD1;RHOF;NDUFS7;AKR1A1;BLOC1S1;CD55;APOC4-APOC2;JUND;PSME2;AURKAIP1;TKFC;CMBL;PPP1R10;ATOX1;CLTB;RESF1;PSMB10;SNHG12;RNASEK;MRPL41;MCL1;CIB1;S100A11P1;GNPDA1;RBCK1;FOSL2;CRYL1;TENT5A;ACE;PLAAT4;RNF213;DDX3X;SULT2A1;PAFAH1B1;LONP1	CL:0000625	CD8-positive, alpha-beta T cell	CL:4040002 enteroglial cell | CL:4047053 TREM2-positive macrophage | CL:0000576 monocyte | CL:0011026 progenitor cell | CL:0000766 myeloid leukocyte			
Paneth cell	674	REG1A;OLFM4;GAS5;SNHG29;GPX2;RSL24D1;SLC12A2;GSTA1;SNHG6;BTN3A3;RPS17;CCL25;SPINK1;TSPO;ADH1C;ATP5PO;NCOA7;UGT2B17;ID2;PRDX3;GATD3A;DECR1;AGR3;AKR1C3;CKS2;ALDH1A1;TFF3;SLIRP;GPR160;TOB1;HNRNPD;NT5C3A;PLA2G2A;SNHG5;C15orf48;NDUFB3;SDHD;TP53RK;MGST1;SNHG8;LSM3;CYCS;RPL36AL;SELENOK;MAOA;NDUFB1;SNRPG;TPD52;SERPINB5;COX7B	CL:0000510	paneth cell	CL:0000034 stem cell | CL:0000682 M cell of gut | CL:0011115 precursor cell | CL:0000646 basal cell | CL:0000723 somatic stem cell			
Dendritic cell	537	CXCL8;GPR183;IL1B;RGS2;LYZ;HLA-DRB6;BTN3A3;LGALS13;GPX1;CCL3L3;SNHG6;ID2;HLA-DPB1;CCL3;CXCL3;HLA-DQA1;HLA-DPA1;RGS1;CYCS;HLA-DQA2;G0S2;S100A11;TSPO;CXCL2;TMSB4XP4;SNHG8;AIF1;S100A4;LST1;CREM;CHMP1B;CKS2;SNHG5;SELENOK;NT5C3A;HLA-DRB1;EIF4A3;TMSB4XP8;EREG;SNHG29;CSTA;SH3BGRL3;NDUFB1;ATP5PO;C1orf162;HLA-DQB1;SNRPG;RPS10;ARPC3;DNAJA1	CL:0000451	dendritic cell	CL:0000990 conventional dendritic cell | CL:0000576 monocyte | CL:0011026 progenitor cell | CL:0000113 mononuclear phagocyte | CL:0000766 myeloid leukocyte			
