# Gallbladder -- 6 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Stromal cell	5344		CL:0000499	stromal cell	CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:0000738 leukocyte | CL:0000842 mononuclear leukocyte | CL:0000766 myeloid leukocyte			
Lymphoid cell	2923		CL:0000542	lymphocyte	CL:0000842 mononuclear leukocyte | CL:0000738 leukocyte | CL:0000235 macrophage | CL:0000766 myeloid leukocyte | CL:0000151 secretory cell			
Myeloid cell	2558		CL:0000763	myeloid cell	CL:0000842 mononuclear leukocyte | CL:0000738 leukocyte | CL:0000235 macrophage | CL:0000766 myeloid leukocyte | CL:0000057 fibroblast			
Epithelial cell	2093		CL:0000066	epithelial cell	CL:0000151 secretory cell | CL:0000160 goblet cell | CL:0000066 epithelial cell | CL:0000057 fibroblast | CL:0002320 connective tissue cell			
T cell	2052		CL:0000084	T cell	CL:0000738 leukocyte | CL:0000842 mononuclear leukocyte | CL:0000766 myeloid leukocyte | CL:0000235 macrophage | CL:0002320 connective tissue cell			
Macrophage	1255		CL:0000235	macrophage	CL:0000235 macrophage | CL:0000766 myeloid leukocyte | CL:0000842 mononuclear leukocyte | CL:0000738 leukocyte | CL:0002320 connective tissue cell			
