# Placenta -- 3 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Epithelial cell	4553	KRT19;KRT18;EFNA1;MFAP5;ITGA5;KRT8;FSTL3;QSOX1;KRT7;TFPI;HTRA4;ANXA1;PHLDA2;LY6E;GJA5;HPGD;HMGB3;PGF;GPX3;EBI3;PDIA6;XAGE2;TMSB10;BZW2;ANXA2;HMGN3;LAIR2;S100A11;ARPC2;MORF4L2;IFI6;PFN1;CDK7;CLIC3;ADM;RPL18A;PPARG;RPL34;C12orf75;PRSS8;LGALS3BP;NOTUM;ISM2;TMED10;RPLP0;RPN2;EZR;TPM1;PRDX5;LAPTM4A	CL:0000066	epithelial cell			
Macrophage	4470	FTL;CXXC1;LAPTM5;FCER1G;CTSD;LGMN;CCL3;AIF1;TYROBP;CCL4;ASAH1;CTSB;TMSB4X;GPNMB;CCL3L3;NFKBIA;CD14;GLUL;F13A1;MS4A4A;CD74;NPL;DUSP12;CCL4L2;SOD2;SRGN;HLA-DRA;FTH1;DAB2;BCL2A1;CTSS;CTSZ;LYVE1;PLAUR;FTLP3;C1QA;HLA-DRB1;RNASE1;C1QB;APOC1;FOLR2;FCGRT;CREG1;CD36;CXCL8;IER3;GPX1;CD163;VSIG4;ATP6AP2	CL:0000235	macrophage			
Stromal cell	822	COL1A1;DCN;LUM;CXCL14;DLK1;COL3A1;ACTA2;EGFL6;COL1A2;MEST;COL6A2;HAPLN1;GPC3;TAGLN;COL6A1;HGF;WNT2;PLPP3;TIMP3;IL6ST;SLC40A1;CDH11;GJA1;VCAN;COL5A1;COL15A1;PITX2;TGFBI;PXMP2;MDK;CTHRC1;COL14A1;MEG3;MYL9;PTGDS;RARRES2;ENPP2;CSRP2;S100A10;CCN2;PLAGL1;LAMA2;CNN3;COL5A2;SPARC;ADAMTS1;VIM;SERPINE2;IGFBP3;CALD1	CL:0000499	stromal cell			
