# Femur -- 2 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Granulocyte	4520		CL:0000094	granulocyte	CL:0002193 myelocyte | CL:0000559 promonocyte | CL:0000775 neutrophil | CL:0001054 CD14-positive monocyte | CL:0000094 granulocyte			
T cell	716		CL:0000084	T cell	CL:0000913 effector memory CD8-positive, alpha-beta T cell | CL:0001062 effector memory CD8-positive, alpha-beta T cell, terminally differentiated | CL:0001203 CD8-positive, alpha-beta memory T cell, CD45RO-positive | CL:0000909 CD8-positive, alpha-beta memory T cell | CL:0000811 CD8-positive, alpha-beta thymocyte			
