# Spleen -- 45 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Stromal cell	1880	LSAMP;FBXL7;NPAS3;KLHL29;CACNA1D;ROBO2;UNC5C;CNTNAP2;RBMS3;SLIT2;TMTC1;MAML2;LRRC4C;GRIK5;PARD3;CNTN4;RYR2;PRKG1;GPC6;H19;NAALADL2;ESRRG;PLXDC2;GLIS3;PARD3B;ZNF804A;PBX3;TMEM131L;PDE4D;GUCY1A2;PRKCA;DACH1;FRMD4A;LINC00486;SBF2;EXT1;ADRA1D;FIGN;SNED1;ADGRL2;SGCD;TTC28;LAMA2;MAP4K3;AUTS2;GRK5;KCNMB3;CADPS;DENND2A;ANKS1B	CL:0000499	stromal cell	CL:0000499 stromal cell | CL:0002139 endothelial cell of vascular tree | CL:0000764 erythroid lineage cell | CL:0000151 secretory cell | CL:0000233 platelet			
ILC3	1846	HPN;SCN1B;IL4I1;TOX2;TMIGD2;TNFRSF25;IL1R1;RORC;LINC00299;TTC39C-AS1;TRBC1;TNFRSF18;MOB2;LTA;SH2D1B;SESN1;KLRC1;PRMT9;RAB18;TTN;IL23R;IPCEF1;IL18R1;KRT86;ZBTB16;CCR6;MYLIP;BCAS1;TNFRSF4;TNFSF11;CLDND1;PPP1R9A;PHYKPL;SLC16A3;SPSB3;CCDC107;CD96;LPXN;AQP3;LZTFL1;AFF3;PRR5;ODF2L;JMY;SEPSECS;HELZ;SYTL1;TXK;COL9A2;PDZK1	CL:0001071	group 3 innate lymphoid cell	CL:0001071 group 3 innate lymphoid cell | CL:0000938 CD16-negative, CD56-bright natural killer cell, human | CL:0001065 innate lymphoid cell | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell			
NK T cell	1772	CEMIP2;CASP4LP;CNOT6L;ZNF331;TRDC;APBA2;RNF19A;MYBL1;RASA2;DUSP5;GABARAPL1;PEBP1P3;ARHGAP9;PTPN22;EOMES;CD160;TRAPPC10;SOCS1;ZBTB1;IKZF3;RNF125;PTGDR;RAB9A;XCL2;SLFN5;SH2D2A;SYTL3;IL2RB;TRGC2;RRN3P1;PRKCH;TNFSF9;IKZF2;PDCD4;FAM177A1;MAPK1;ATF7IP;SH2D1A;SYNRG;STAT4;TRAT1;DTHD1;APMAP;MLLT6;USP36;CDC42SE2;CRTAM;RAB8B;CCSER2;RUNX3	CL:0000814	mature NK T cell	CL:0000814 mature NK T cell | CL:0000798 gamma-delta T cell | CL:0000625 CD8-positive, alpha-beta T cell | CL:0002393 intermediate monocyte | CL:0000623 natural killer cell			
Double positive T cell	1242	PTPRCAP;FCMR;POLD4;IFI30;LMBRD1;SSH2;MAN2B1;CYFIP2;PPP3CC;CYTH1;IRF9;ZNF10;ATF7IP;TMX4;TMC8;NUP58;CHD2;TNFAIP8;IGFLR1;SPTAN1;ANKRD44;BCL2;TBC1D10C;ERCC5;ARHGAP25;USP34;SRCAP;TBRG1;ZNF394;SYTL1;PHC3;ATP2B1-AS1;STK10;NFKB2;DENND1C;PHF1;MFSD14A;RELB;RABGAP1L;SETX;GCC2;SNHG12;SLC44A2;YME1L1;SETD2;TNFRSF14;GPS2;TMC6;SEPTIN9;LPXN	CL:0000084	T cell	CL:0000875 non-classical monocyte | CL:0000788 naive B cell | CL:0000787 memory B cell | CL:0000844 germinal center B cell | CL:0000860 classical monocyte			
Megakaryocyte	1031	CLU;NRGN;F13A1;CYP1B1;FCGR1A;PPBP;PF4;TMEM176A;TREML1;TMEM176B;STAT1;ADA2;KCNE3;IFI6;BST1;HACD4;GASK1B;CLEC12A;USP3;FBXL5;ITGAM;GIMAP2;EPSTI1;UBE2D1;EVI2A;LRRK2;SQOR;RASSF3;TNFSF13B;SNX10;PTPN12;PRKCB;MT2A;SCPEP1;IL10RB;CTSA;ASGR1;CD300E;ATP2B1-AS1;NUMB;NAIP;UTS2;GBP2;NACC2;NUP214;RAB27A;ATP6V1B2;KCTD12;CAPN2;PLBD1	CL:0000556	megakaryocyte	CL:0000233 platelet | CL:0000556 megakaryocyte | CL:0000151 secretory cell | CL:0002191 granulocytopoietic cell | CL:0000836 promyelocyte			
Common lymphoid progenitor (CLP)	1012	DNTT;NPY;CMTM7;LCN6;MLXIP;TLE4;CD9;FHIT;CYGB;FAM215B;SIAH2;ARPP21;CD24;GABPAP;CMTM8;OSER1;E2F1;MAD2L2;USP1;ERGIC1;TMEM243;QRSL1;TSPAN14;CFAP20;GNG7;FAM111B;COX19;IRF1-AS1;BCL7A;TRA2A;LEF1;CENPU;SMARCA4;SMIM3;VPREB3;RBM38;TCTEX1D2;H1-3;PPP3CC;EBF1;JUP;LINC01013;EIPR1;JMJD1C;H2AC14;CDCA7L;KIFC1;MDM4;ACSS1;EZH2			CL:0002048 late pro-B cell | CL:0000817 precursor B cell | CL:0000826 pro-B cell | CL:0000954 small pre-B-II cell | CL:0002139 endothelial cell of vascular tree			
Conventional dendritic cell	940	LILRB4;TNNI2;C12orf45;CLEC4C;SPIB;UGCG;IDH3A;KCTD5;IRF7;CYSLTR1;C12orf75;IL3RA;TATDN3;LINC00996;RPS6KA4;HLA-DMB;SLC20A1;SCT;CCDC50;POLB;OPN3;HLA-DMA;PHACTR1;TMEM109;GGA2;SNAP29;SMPD3;ATG101;PLP2;TASL;SAP30BP;NAPSA;CYB561A3;SCAMP4;DIPK2A;CD2AP;TSPAN13;FCHSD2;GTF2E2;RUNX2;PTS;SLC7A5;AFF3;CCDC186;SLC15A4;METAP1;CCDC107;ACSL3;PPM1K;PRMT9	CL:0000990	conventional dendritic cell	CL:0000784 plasmacytoid dendritic cell | CL:0000954 small pre-B-II cell | CL:0000816 immature B cell | CL:0000817 precursor B cell | CL:0000451 dendritic cell			
Vascular smooth muscle cell	782	MYH11;TAGLN;NTF3;SERPINI1;HEY2;HSPA2;JAG1;NOTCH3;NTRK3;RASL12;CDH6;ADIRF;RGS5;COX4I2;TTYH1;ANGPT2;AOC3;NTRK2;BCAS3;GEM;TINAGL1;COL18A1;TGFB2;PLN;FOXS1;KCNA5;ACTA2;LINC00672;CARMN;HEYL;MCAM;RGS16;LMOD1;CRYAB;MYOCD;FILIP1;PDLIM3;PLD5;FILIP1L;RASL11A;EPS8;EDNRA;ACAN;CNN1;PTK2;TBX2;CXCL13;LPP;PPP1R12B;MAP3K7CL	CL:0000359	vascular associated smooth muscle cell	CL:0000192 smooth muscle cell | CL:0000359 vascular associated smooth muscle cell | CL:0000183 contractile cell | CL:0000499 stromal cell | CL:0002320 connective tissue cell			
ILC	756	TNFRSF18;MDFIC;ODF2L;RUNX2;PCDH9;TNFRSF4;SEPSECS;GIMAP2;C1orf56;TLE1;PRR5;TNFRSF25;KLRB1;OTUD5;TRAF3IP3;TMIGD2;AAK1;IL1R1;LINC00299;IL18R1;XCL1;TXK;TBC1D10C;LPXN;TNFAIP8;SESN1;TMX4;PHYKPL;MYLIP;ADAM10;CD96;PCMTD1;TRBC1;INTS6;ST3GAL1;RICTOR;CMPK1;KRT86;OGA;SCML4;CCNG2;CCDC66;ACAP1;SYTL1;PRMT2;SMAP1;PRMT9;DHRS7;HELZ;MPHOSPH8	CL:0001065	innate lymphoid cell	CL:0002139 endothelial cell of vascular tree | CL:0001071 group 3 innate lymphoid cell | CL:0000499 stromal cell | CL:0000954 small pre-B-II cell | CL:0000940 mucosal-associated invariant T cell			
Multipotent hematopoietic progenitor	754	MLLT3;ANGPT1;HMGA2;TIMM9;TMEM69;ETFRF1;ZNF330;NPRL3;DUSP11;PRKACB;BCAT1;CCDC90B;IGF2BP2;CDCA7;OARD1;TEX30;MRPL32;TMEM216;FAM216A;MRPL45;MAP3K13;NOL11;ACOT13;IFTAP;ZCCHC9;PPIL3;PPIL4;TATDN1;HSPA4;ADPRM;MRPL50;C11orf1;HHEX;DNMT3A;ICA1;AASDHPPT;SMIM27;NOL8;DPH5;DPY30;PPID;PGF;CNTRL;STARD3NL;ARPP19;GPATCH2L;ZNF622;THAP9-AS1;ZNF581;GTF2F2			CL:0000499 stromal cell | CL:0002139 endothelial cell of vascular tree | CL:0000050 megakaryocyte-erythroid progenitor cell | CL:0002032 hematopoietic oligopotent progenitor cell | CL:0000037 hematopoietic stem cell			
Mast cell	681	NMT2;SUPT20H;MS4A1;MITF;MEIS2;PLGRKT;TUBGCP2;SLC5A3;EPX;CD33;DENND1B;LPCAT2;PCTP;ORAI3;TMEM251;GAPT;SMAP1;USP53;CPPED1;SPIN4;REXO5;RAB37;ALDH1A1;HPGD;VWA5A;LINC01140;STX3;ALAS1;USPL1;GRAP2;GM2A;LGALS8;PEPD;PDE6G;SVOPL;AMHR2;MLLT11;CXCL2;HSD17B4;EXD3;KIT;TTC17;CDK15;BMP2K;ATG12;RPS6KA5;ZFAND2A;STXBP5;TADA3;ARHGAP18	CL:0000097	mast cell	CL:0000816 immature B cell | CL:0000819 B-1 B cell | CL:0000822 B-2 B cell | CL:0000787 memory B cell | CL:0000843 follicular B cell			
Pro-B cell	648	RAG1;SOCS2;NRM;SLC8A1-AS1;RAG2;ZCCHC7;LINC00426;NPPC;CD200;MID1IP1;UHRF1;TTC9C;SSBP2;UMODL1;WASHC4;DEPP1;MIR181A1HG;ARL6IP6;ABHD3;EBLN3P;S1PR4;RASD1;PXK;BCAS4;SMC6;PAG1;SLC44A2;HMCES;CEP135;LAIR1;ADA;TNF;RFC2;A1BG;QRSL1;MEF2A;CYFIP2;USP39;EBF1;SPSB3;JUP;DCP2;MAD2L2;MLLT11;RSRC1;CNTLN;STRBP;SDR39U1;PPM1B;SMC2	CL:0000826	pro-B cell	CL:0002048 late pro-B cell | CL:0000817 precursor B cell | CL:0000954 small pre-B-II cell | CL:0000826 pro-B cell | CL:0002045 fraction A pre-pro B cell			
Myofibroblast	603	LUM;FBLN1;LRRC17;ABCA8;IL11RA;PPP1R1B;F10;CXCL10;EGFL6;CDO1;LAMA4;FBN1;CRABP2;SRPX;NUPR1;THY1;TWIST2;HSPB6;SFRP1;MMP2;GPC3;PEG10;RCN3;C1R;IGFBP3;KDELR3;LPAR4;MDFI;BOC;MIR99AHG;PAMR1;C1QTNF2;MMP23B;MRC2;CERCAM;ASPN;PLPP3;FKBP7;NDN;FAM114A1;PLAT;NOVA1;ADAMTSL3;COL5A1;FMOD;GLT8D1;GPX8;FBN2;PPIC;CAPN6	CL:0000186	myofibroblast cell	CL:0000186 myofibroblast cell | CL:0000183 contractile cell | CL:0002320 connective tissue cell | CL:0000499 stromal cell | CL:0000057 fibroblast			
Mesothelial cell	592	UPK3B;KRT19;MSLN;LHX9;KLK11;ALDH1A2;C3;PLA2G2A;PRG4;HHIP;COL8A1;PTPRF;CLDN15;CDH15;PDPN;CXADR;CFH;LRRN4;ITGA3;DMKN;TPD52L1;SEMA3C;MYRF;CLDN1;SEMA3B;BMP4;TNNT1;SULF1;KRT8;LINC00842;SBSPON;FLRT3;PLOD2;NPNT;PLCB1;GPM6A;SEMA3D;C4A;GJA1;CDON;FRAS1;GAS1;LMO7;CA9;REEP1;CRIM1;PRKCI;PLCE1;ANXA8;MAL2	CL:0000077	mesothelial cell	CL:0000077 mesothelial cell | CL:0000066 epithelial cell | CL:0000764 erythroid lineage cell | CL:0002139 endothelial cell of vascular tree | CL:0000499 stromal cell			
CD4 Trm	571	ZC3H12A;PGAP3;RORA;KCNA3;EML4;PPP1R15B;RBL2;ST3GAL1;THEMIS;CAMK4;PBXIP1;ARHGEF1;PHF1;CDK17;TAGAP;TSPYL2;ODF2L;TMX4;TRAF1;CSRNP1;PDE4D;TC2N;ERN1;PBX4;OXNAD1;PPP1R16B;FOXO1;PLK3;TTC39C;CD6;SLAMF1;PTPRCAP;PTGER2;LCP2;NR1D2;CD96;MGAT4A;SYTL2;HERPUD2;ITK;NFATC2;GPRIN3;DYNLT3;SPTAN1;ZAP70;PTGER4;GATA3;SESN1;RALGAPA1;CYTH1			CL:0000499 stromal cell | CL:0000814 mature NK T cell | CL:0000940 mucosal-associated invariant T cell | CL:0002139 endothelial cell of vascular tree | CL:0000625 CD8-positive, alpha-beta T cell			
