# Spleen -- 45 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Memory CD8 T cell	11441	CASP4LP;NCK2;TC2N;TBC1D10C;GBP5;DUSP5;AAK1;STK10;SH2D1A;SYNRG;GPRIN3;SLAMF6;TRAT1;SLFN5;PITPNC1;CYFIP2;INTS6;HERPUD2;GLS2;ARHGAP25;HELB;MDFIC;ATXN1;ZBTB38;TBCC;FCMR;ZNF831;PCSK7;TNFAIP8;CRYBG1;STIM2;CCSER2;NLRC5;ORAI1;NSMCE3;SCML4;UTRN;ATF7IP;GCC2;IPCEF1;ARIH1;CASP8;MYLIP;MECP2;ITGAL;SKAP1;MLLT6;SIGIRR;SPTAN1;RAB27A	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0001087 effector memory CD4-positive, alpha-beta T cell, terminally differentiated | CL:0000940 mucosal-associated invariant T cell | CL:0000913 effector memory CD8-positive, alpha-beta T cell | CL:0000625 CD8-positive, alpha-beta T cell | CL:0000814 mature NK T cell			
Endothelial cell	10504	CLDN5;CDH5;MADCAM1;TM4SF18;SOX17;PLVAP;PLK2;ADGRL4;TIE1;TMEM88;KDR;APLNR;SERPINA5;ADGRF5;CYYR1;ROBO4;PCAT19;UACA;ARHGAP29;PCDH12;INPP1;MYO6;PCDH17;BCL6B;TDGF1;HYAL2;PDE2A;AFAP1L1;ELK3;TSPAN7;TEK;LIMCH1;PROX1;NRN1;TCIM;DGKE;ADAM15;EMCN;HRNR;SOX7;YES1;ADCY4;MMRN2;CLEC14A;RGL2;MYCT1;RAPGEF5;EFNA1;NPDC1;CALCRL	CL:0000115	endothelial cell	CL:0000115 endothelial cell | CL:0000066 epithelial cell | CL:0002139 endothelial cell of vascular tree | CL:0000091 Kupffer cell | CL:0000864 tissue-resident macrophage			
CD8 Trm	8111	GZMK;GPR174;PITPNC1;CBLB;ARAP2;IFNG;RASAL3;LINC01138;GBP5;ATF7IP;ZAP70;TIGIT;SH2D1A;GCC2;SKAP1;CYCSP5;HERPUD2;CCSER2;PTPRCAP;MYLIP;DENND2D;CHD2;KLRC4;ARHGAP25;IRF1-AS1;APMAP;TMX4;TC2N;OPTN;SYNRG;DTHD1;XCL2;NFATC2;TBC1D10C;CRTAM;UBASH3A;CD96;SEPTIN1;TSEN54;ST3GAL1;LCP2;RABGAP1L;YME1L1;SHFL;ITGAL;UTRN;CD8B;SNHG12;STK10;LAG3	CL:0000909	CD8-positive, alpha-beta memory T cell	CL:0000814 mature NK T cell | CL:0001203 CD8-positive, alpha-beta memory T cell, CD45RO-positive | CL:0000625 CD8-positive, alpha-beta T cell | CL:0000913 effector memory CD8-positive, alpha-beta T cell | CL:0000909 CD8-positive, alpha-beta memory T cell			
T cell	8017	DENND2D;NCR3;SH2D1A;ANXA2R;GBP2;XCL1;ISG15;TBC1D10C;SIGIRR;GIMAP4;TC2N;ZAP70;LPXN;TNFRSF14;MCUB;SESN1;IL27RA;TRAF3IP3;TNFAIP8;PTPRCAP;SLC6A20;CD96;SLFN5;RGS14;GIMAP2;SKAP1;CD247;TNFSF14;SYTL1;CAMK4;PCSK7;SH2D2A;TMC8;SHISA5;OPTN;DEFA6;ODF2L;TBRG1;RAB18;FCMR;ACAP1;PLAAT4;MT2A;CCDC107;LCK;SYNRG;NFATC2;SPSB3;SIRPG;MATK	CL:0000084	T cell	CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0000802 CD8-alpha alpha positive, gamma-delta intraepithelial T cell | CL:0002496 intraepithelial lymphocyte | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell			
Plasma B cell	7604	ZBP1;TXNDC11;SYVN1;CPNE5;GLCCI1;TXNDC5;ELL2;MEI1;PREB;GAS6;SEL1L3;PLPP5;NXPE3;SIL1;TRAM2;UAP1;FBH1;GMPPB;HSPA13;SEC24A;FNDC3B;DNAJC3;IFNAR2;TXNDC15;C11orf24;SPAG4;SAR1B;SPATS2;ST6GAL1;FBXW7;TPD52;FNDC3A;SDC1;CLPTM1L;SLC25A4;ARSA;SLC38A10;EDEM2;UBE2G1;GMPPA;FCRL5;PNOC;TP53INP1;TMEM156;MANEA;SEC61A1;BHLHE41;RAB30;SLC17A9;POU2AF1	CL:0000786	plasma cell	CL:0000786 plasma cell | CL:0000946 antibody secreting cell | CL:0000499 stromal cell | CL:0000814 mature NK T cell | CL:0000980 plasmablast			
Plasmablast	6864	H2BC8;IGLC3;IGLC2;CD59;IGHGP;IGKV4-1;GGH;IGHA1;IGLV6-57;RNGTT;ARL5A;PSMB8-AS1;TMEM70;IGHG3;IGHG1;IGHG2;MANEA-DT;H1-3;TNFRSF17;MRPS31;TIMM17A;SRP19;MRPS18A;TMEM156;SVIP;CCND2;TNFRSF13B;COMMD3;MIR570HG;SCO2;ABCB9;ZNRD2;FDX1;EXOSC1;MKKS;IGHM;H2BC15;ZBTB8OS;LAX1;IGKV1-12;CCNC;CCDC167;MRPS11;GOLT1B;FAM27C;GNL3;BUB3;IGKC;FCRL5;PNOC	CL:0000980	plasmablast	CL:0000985 IgG plasma cell | CL:0000986 IgM plasma cell | CL:0000786 plasma cell | CL:0000946 antibody secreting cell | CL:0000980 plasmablast			
Myeloid cell	6634	CXCR2;FCGR3B;ALPL;MMP25;AQP7;CMTM2;PROK2;TREM1;ABTB1;CD177;ADGRG3;XPO6;IL1RN;LUCAT1;STEAP4;RN7SL368P;PTGS2;SORL1;IGF2R;CXCR1;OLAH;ADGRE2;ITPRIP;KCNJ15;TNFRSF10C;VNN2;TLR2;EHD1;ACSL1;TNFAIP6;LRG1;LIMK2;MXD1;FPR2;G0S2;DSC3;MGAM;HOMER2;ARHGAP26;CR1;GLT1D1;KCNJ2;MCEMP1;CLEC4E;MME;TMEM154;GK;FAM126B;IVNS1ABP;PHF21A	CL:0000763	myeloid cell	CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0000081 blood cell | CL:0000766 myeloid leukocyte | CL:0000763 myeloid cell			
Mesodermal killer cell	6128	DNM3;TMEM40;RAB27B;LTBP1;GP9;GP1BA;CLEC1B;C2orf88;CNST;ARHGAP6;CD226;PLEKHF2;CMTM5;H3C10;TMBIM1;P2RY1;ALOX12;MFAP3L;F2RL3;ZNF778;TUBB1;KIFAP3;DCLRE1A;TMEM91;MPIG6B;STON2;PSTPIP2;LRP12;TNIK;CMIP;RUFY1;ACAD8;XPNPEP1;KIFC3;CA2;C11orf21;PDE5A;MEIS1;GP6;ACRBP;PTGS1;UIMC1;ABCC4;MOB1B;CGRRF1;SYTL4;ITGB3;INKA1;DGKD;MAD2L1BP			CL:0000556 megakaryocyte | CL:0000233 platelet | CL:0000151 secretory cell | CL:0000836 promyelocyte | CL:0002191 granulocytopoietic cell			
Conventional dendritic cell 2	5854	CLEC10A;CLEC4A;CD1C;CD1D;ABI3;TNFAIP8L2;SLC31A2;CACNA2D3;PKIB;CASP1;SCIMP;DOK2;CFP;ZNF385A;AOAH;P2RY13;PILRA;IGSF6;PLSCR1;TSEN34;COMMD8;DRAM2;ENTPD1;CD86;LRRC25;CD300A;TNFRSF14;SLC66A3;CD1E;RGS19;PPCS;UBE2D1;CSF2RA;IGFLR1;CLN8;IDH3G;SNX10;LSM10;EIF4E2;ALDH2;ATP6V1B2;IFI30;MKKS;GHRL;FAM110A;MAP2K1;ODF3B;FBXO6;NUDT16;SRGAP3	CL:0000990	conventional dendritic cell	CL:0000451 dendritic cell | CL:0000990 conventional dendritic cell | CL:0000875 non-classical monocyte | CL:0000939 CD16-positive, CD56-dim natural killer cell, human | CL:0000822 B-2 B cell			
Naive CD8 T cell	5585	CCR7;BIRC2;LYPD3;WHAMM;IL23A;PASK;MGAT4A;PLK3;ABLIM1;CAMK4;OSER1;NSMCE3;PDE4D;CD8B;RNF139;USP3;JMJD1C;RNF125;LEPROTL1;LEF1;CCDC57;ARHGAP45;G3BP2;MCUB;RBM38;OCIAD2;CD6;SSH2;FAM118A;SATB1;RHOH;NELL2;ARRDC2;JMY;RETREG1;ISG15;IRF9;CD96;CD5;MYLIP;GSPT1;TOB1;PTGER4;ZNF394;CMPK1;FAM107B;MED10;COX19;S100B;ARID5A	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900 naive thymus-derived CD8-positive, alpha-beta T cell | CL:0000898 naive T cell | CL:0000895 naive thymus-derived CD4-positive, alpha-beta T cell | CL:0000907 central memory CD8-positive, alpha-beta T cell | CL:0000904 central memory CD4-positive, alpha-beta T cell			
