# Salivary_gland -- 9 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Serous gland cell	8174	MUCL1;TESC;AQP5;DNER;S100A1;DNASE2B;PPP1R1B;PRR27;AMY2B;CST5;CLDN10;CALML5;CHAMP1;AGFG2;C5orf46;ETV1;DPP4;EIF4EBP1;SMCO4;PART1;AMY1B;PYCR1;CST2;ELAPOR1;SLC13A5;LINC01829;LPO;METRN;TMED3;TRPV6;CA2;TSPAN13;ETNPPL;LYPD1;FAM20A;ACAT1;BLM;PON3;BSPRY;AMY1A;PAX9;ALDH1L1;GALNT6;ANO1;MCRIP2;FAM3D;NME4;CDC42EP5;ALAD;ALDH18A1			CL:0000313 serous secreting cell | CL:0000319 mucus secreting cell | CL:0000159 seromucus secreting cell | CL:0002623 acinar cell of salivary gland | CL:0001064 malignant cell			
Memory B cell	2878	LINC01781;IGHG3;SCIMP;IGHG1;AIM2;TNFRSF13B;TLR10;CHD7;LY86;FCRLA;SP140;IDS;CD19;PTPN6;BLK;OSBPL10;SPIB;TRAF5;PLEKHF2;CLECL1;LYL1;ATP2B1;VASP;TMEM154;RNGTT;FCHSD2;SMARCB1;ANKRD13A;NAPSB;TMEM243;PHF20;MED10;VPREB3;ARHGAP25;IGHG4;GGA2;ARHGAP24;UCP2;DRAM2;DNAJC10;UVRAG;PSMB9;ZNF721;CD82;GAPT;DBNL;TTC14;PARP15;NT5E;KLK1	CL:0000787	memory B cell	CL:0000985 IgG plasma cell | CL:0000786 plasma cell | CL:0000945 lymphocyte of B lineage | CL:0000910 cytotoxic T cell | CL:0000903 natural T-regulatory cell			
Fibroblast	2441	LAMA2;COL6A3;ADH1B;PDGFRA;PDGFRB;ABCA8;COL1A2;DCN;COL3A1;CXCL14;ABCA9;ABCA6;PRELP;NOVA1;SCARA5;PRRX1;CRISPLD2;VIT;SPOCK1;DCLK1;FBLN5;MXRA8;PCOLCE;C1S;MMP2;PODN;AOX1;GFRA1;APOD;CD248;PID1;COL5A2;PLA2G2A;SVEP1;COL1A1;PDGFRL;LPAR1;PCDH18;FBLN2;ABI3BP;ISLR;NEGR1;CAPN5;ABCA10;CCN5;FGF7;AGTR1;MFAP4;SOD3;SRPX2	CL:0000057	fibroblast	CL:0002503 adventitial cell | CL:0000630 supporting cell | CL:0002553 fibroblast of lung | CL:0000669 pericyte | CL:0002320 connective tissue cell			
CD8 T cell	1979	CD8A;CD8B;KLRC1;TSPYL2;ODF2L;PARP8;HERC5;GPR171;RORA;SCML4;LINC01871;CD226;PCNX1;CD96;SOCS1;CRYBG1;NR3C1;KLRD1;THEMIS;MDFIC;SYTL3;PTPN22;JAML;OXNAD1;BATF;PCSK7;CD2;PEBP1P3;XCL1;CASP4LP;RFLNB;SLAMF6;GVINP1;GCHFR;TLE4;CASP8;PAXX;CITED2;PTGER4;PDCD4;IL32;TMX4;HMGB2;ITK;TARS3;RSBN1;GPR155;HIPK1;RASA2;MALT1	CL:0000625	CD8-positive, alpha-beta T cell	CL:0001050 effector CD8-positive, alpha-beta T cell | CL:0000794 CD8-positive, alpha-beta cytotoxic T cell | CL:0000625 CD8-positive, alpha-beta T cell | CL:0000791 mature alpha-beta T cell | CL:0002419 mature T cell			
Macrophage	1761	OLR1;TREM2;CCL3L1;CCL4L2;CLEC5A;TGFBR1;SIGLEC10;LHFPL2;SIGLEC8;SLCO2B1;IL18;ITGAX;TNF;CXCL16;ADORA3;MSR1;BHLHE41;SLC1A3;SRGAP1;BMP2K;IL1B;SLC4A7;HEXA;ZNF618;SFMBT2;GLDN;TLR7;APOC1;CCL3;GPR34;HAVCR2;FRMD4A;C1QB;LILRB4;ACER3;CEP170;LPCAT2;FCGR1A;C1QC;SLC7A8;LPL;RHBDF2;SLC8A1;LDLRAD4;CD84;P2RX7;LPIN2;SERPINB9;BCAT1;PARVG	CL:0000235	macrophage	CL:0000863 M1 macrophage | CL:0000864 tissue-resident macrophage | CL:0000861 elicited macrophage | CL:0000235 macrophage | CL:0000145 professional antigen presenting cell			
Ductal cell	1684	TCN1;DMBT1;ELF5;PPP1R9A;ARFGEF3;MUC15;SIX1;WWC1;NAALADL2;ERBB3;PLCB1;SECISBP2L;TMC5;FOLR1;BARX2;HIP1R;LRRC26;COBL;GALNT3;FURIN;GGT6;CRACR2B;CHKA;MLPH;PRSS8;TMEM63A;GNPTAB;C4orf19;PHGDH;TSPAN6;PACS1;TCEA3;PLIN5;RASEF;LINC00342;GJC3;C16orf89;PLA2R1;PDZK1IP1;GPAA1;CXCL17;RRAGD;CEACAM1;FAM171B;ERGIC1;MANSC1;SEZ6L2;BICDL2;PDE4D;GFPT1	CL:0000068	duct epithelial cell	CL:4052048 intercalated cell of salivary gland | CL:0000622 acinar cell | CL:0002623 acinar cell of salivary gland | CL:0000151 secretory cell | CL:0000066 epithelial cell			
Helper T cell	1221	LEF1;TCF7;SPOCK2;TRABD2A;TRAC;RCAN3;SATB1;CAMK4;LEPROTL1;CCR7;PRKCA;LDLRAP1;PDE3B;IPCEF1;NOSIP;CD3D;TRAT1;MCUB;SEMA4D;TESPA1;CD28;INPP4B;ITK;DGKA;ZNF331;BCL11B;CD3G;AP3M2;OXNAD1;CD6;TNFSF8;GIMAP2;SERINC5;CDKN1B;PIK3IP1;NCK2;CLEC2D;PBXIP1;PASK;ITPKB;SGTB;ZC3HAV1;TNRC6C;TXK;CRYBG1;RRN3P1;GVINP1;SCML4;ARHGAP15;ARHGAP45	CL:0000912	helper T cell	CL:0000897 CD4-positive, alpha-beta memory T cell | CL:0000903 natural T-regulatory cell | CL:0000910 cytotoxic T cell | CL:0000624 CD4-positive, alpha-beta T cell | CL:0000815 regulatory T cell			
Naive B cell	1120	IGHD;IGHM;LINC00926;FCER2;STAG3;BACH2;AFF3;FCRL1;NIBAN3;IL4R;LINC02397;RBM38;IFT57;BTLA;PLEKHA2;TLE1;ZNF107;COL19A1;SP140L;ZCCHC7;STX7;ORAI2;EBLN3P;P2RY10;USP12P1;NETO1;SESN1;TAPT1;ZNF318;HHEX;RNMT;CD72;TMPO;COBLL1;DCK;CXCR5;SNX2;CEMIP2;RASGRP2;ADK;BLNK;SNX29;AIDA;SELENOF;PPM1K;VAV3;ARRDC2;MAP3K1;BTK;FAM177B	CL:0000788	naive B cell	CL:0000236 B cell | CL:0000945 lymphocyte of B lineage | CL:0000987 IgA plasma cell | CL:0000786 plasma cell | CL:0000763 myeloid cell			
Basal cell	913	KRT15;GALNT5;LAMC2;LAMB3;ABCC3;HSPA4L;AVPI1;PHLDA2;ITGA2;TNS4;HS6ST1;LINC00511;LOXL4;CHST9;SEMA4A;SOWAHC;SEMA3C;IRF6;SERPINB5;CCND1;SCARA3;CYP4X1;S100A11P1;PER2;FOXQ1;ADH1C;ALDH3A2;TP63;SCPEP1;RGS12;ARG2;SH3PXD2A;ZC3H12A;SLC25A44;NDFIP2;SLC6A6;SLC20A1;NPTN;PARD3;TNFRSF12A;CDH15;DDIT3;EPHA2;DGKH;MET;SOX2;NUDT14;HEXIM1;AKR1C2;KRT14	CL:0000646	basal cell	CL:0000034 stem cell | CL:0000646 basal cell | CL:0011115 precursor cell | CL:0011026 progenitor cell | CL:0009116 progenitor cell of mammary luminal epithelium			
