# Oesophagus -- 6 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Epithelial cell	76682	SH3YL1;SPRR2D;LGALS7B;SDC4;ABLIM1;TGM1;PHLDA1;SERPINB5;CRCT1;IRF6;C10orf99;DEFB1;CD55;GJB3;LGALS7;TNFRSF12A;CXCL17;DENND2C;EIF3J;FKBP4;DYNC1I2;PDZK1IP1;TOP1;PTN;UGCG;RAP2B;PHLDA2;SERPINB13;INPP1;DSG3;GOLGA4;DAPL1;PDLIM5;RBIS;DDX21;SERTAD1;RAB11FIP1;UPP1;CLCA4;PTGR1;SPRR2E;LRRC8A;MAST4;TRIM16;RGS12;DNAJC15;GJB5;CLCA2;TJP1;RND3	CL:0000066	epithelial cell			
Myeloid cell	9132	SYT8;RBM3;HILPDA;KRT14;PYCARD;GCHFR;SLURP1;PSMA2;HOPX;AK1;SOAT2;BAD;PHGDH;RPS6KB2;ABRACL;CALM3;NBEAL1;IL18;NDUFA13;ZDHHC12;H1-2;ADRM1;AHCY;LYPD2;DMKN;S100P;PCLAF;TMEM160;PDLIM2;PPP1R7;EBP;LSM4;PPP1CC;TMEM14B;SYNGR1;TMEM109;PNKD;LYNX1;KLK12;RPA3;HINT2;UFD1;IDH2;NUDT1;HSBP1L1;LSM2;TRIM7;TMEM14C;KRT19;EMC4	CL:0000763	myeloid cell			
Fibroblast	3095	LUM;MMP2;ADH1B;FBLN1;SFRP2;APOD;C1S;DCN;SERPINF1;MFAP4;COL1A2;CCDC80;CTSK;COL6A3;FN1;C3;CXCL12;PDGFRA;LTBP4;IGFBP6;DPT;COL6A1;ABI3BP;PLPP3;TIMP2;OLFML3;CYBRD1;ABCA8;HTRA1;PCOLCE;COL6A2;C1R;NFIA;RARRES2;COL3A1;CXCL10;COL1A1;SPON2;SERPING1;CFD;FGF7;ISLR;MEG3;PID1;CFH;TCF21;PRELP;ABCA6;PODN;FBLN2	CL:0000057	fibroblast			
Endothelial cell	3050	AQP1;PLVAP;ACKR1;CLDN5;RAMP2;RAMP3;NPDC1;PECAM1;VWF;ENG;EMCN;EGFL7;CLEC14A;TSPAN7;SOCS3;IFI27;CCL14;NNMT;GNG11;HSPG2;ADGRL4;STOM;HYAL2;PRSS23;JAM2;DEPP1;RHOC;PRCP;PCAT19;IFI16;DIPK2B;S1PR1;NRN1;CYYR1;LDB2;TGFBR2;CD93;VAMP5;SLCO2A1;GIMAP4;CCDC85B;TSHZ2;ESAM;CNN3;EPAS1;SERPINH1;KLF2;CALCRL;ARHGAP29;FLT1	CL:0000115	endothelial cell			
T cell	2183	TRAC;CD3D;TRBC1;TRBC2;CD7;EVL;CD2;IL7R;ACAP1;CYTIP;LCK;PLAAT4;LEPROTL1;CORO1A;GZMA;HCST;CD3E;KLRB1;GMFG;PIK3IP1;CD3G;CD48;SRSF7;FYB1;DUSP2;CST7;GZMB;DDX24;CD53;STK4;RGCC;RAC2;CCND3;ARHGDIB;PTPRC;ID2;SPOCK2;STK17A;JAML;SARAF;CLK1;CD247;BTG2;CLEC2D;PPP1R2;GPSM3;DNAJA1;CCL5;IL32;PPP2R5C	CL:0000084	T cell			
B cell	1314	MS4A2;CD37;LTB;CD79B;VPREB3;IGHM;BANK1;IRF8;LIMD2;CD48;CD53;TNFRSF13C;GPSM3;LINC00926;LY9;STK17A;SELL;ARHGAP24;DNAJA1;HLA-DQA1;PMAIP1;YPEL5;SRSF7;JUND;REL;HLA-DQB1;CYTIP;CORO1A;LY86;CD83;MARCKSL1;SNHG32;HLA-DMB;IGHD;PNISR;TAF1D;SP100;IGKC;NCF1;DRAM2;ADAM28;KLF2;UCP2;SMIM14;BIRC3;KMT2E;IGLC2;TAGAP;RAC2;ISG20	CL:0000236	B cell			
