panel	key	value
c	Prostate|Smooth muscle cell -> smooth muscle cell of prostate	margin=1.551;confident=True;gold_compatible=None
c	Skin|T cell -> activated CD8-positive, alpha-beta T cell	margin=1.533;confident=True;gold_compatible=None
c	Spleen|NK cell -> CD16-negative, CD56-bright natural killer cell, human	margin=1.531;confident=True;gold_compatible=None
c	Ovary|Epithelial cell -> ovarian surface epithelial cell	margin=1.527;confident=True;gold_compatible=None
c	Liver|Monocyte -> classical monocyte	margin=1.525;confident=True;gold_compatible=True
c	Spleen|Monocyte -> intermediate monocyte	margin=1.525;confident=True;gold_compatible=None
c	Pancreas|Endocrine cell -> pancreatic epsilon cell	margin=1.523;confident=True;gold_compatible=True
c	Kidney|Loop of henle -> kidney loop of Henle cortical thick ascending limb epithelial cell	margin=1.470;confident=True;gold_compatible=None
c	Heart|Cardiomyocyte cell -> regular ventricular cardiac myocyte	margin=1.458;confident=True;gold_compatible=None
c	Blood|Plasma B cell -> IgA plasma cell	margin=1.456;confident=True;gold_compatible=True
c	Breast|T cell -> naive thymus-derived CD4-positive, alpha-beta T cell	margin=1.452;confident=True;gold_compatible=None
c	Lung|Plasma cell -> IgA plasma cell	margin=1.448;confident=True;gold_compatible=None
c	Kidney|Collecting duct -> kidney collecting duct principal cell	margin=1.436;confident=True;gold_compatible=None
c	Uterus|Stromal cell -> stromal cell of ovary	margin=1.433;confident=True;gold_compatible=None
c	Skin|Lymphoid cell -> CD8-positive, alpha-beta T cell	margin=1.431;confident=True;gold_compatible=None
c	Uterus|Epithelial cell -> stratified epithelial cell	margin=1.417;confident=True;gold_compatible=None
c	Bronchi|Monocyte -> CD14-low, CD16-positive monocyte	margin=1.407;confident=True;gold_compatible=None
c	Lung|Effector T cell -> effector CD4-positive, alpha-beta T cell	margin=1.402;confident=True;gold_compatible=None
c	Salivary_gland|Macrophage -> inflammatory macrophage	margin=1.385;confident=True;gold_compatible=None
c	Stomach|Stromal cell -> fibroblast of gingiva	margin=1.384;confident=True;gold_compatible=None
c	Bone_marrow|B cell -> immature B cell	margin=1.378;confident=True;gold_compatible=True
c	Bronchi|Goblet cell -> nasal mucosa goblet cell	margin=1.372;confident=True;gold_compatible=None
c	Lung|Vascular smooth muscle cell -> smooth muscle cell of the pulmonary artery	margin=1.365;confident=True;gold_compatible=None
c	Liver|CD4 T cell -> CD4-positive helper T cell	margin=1.364;confident=True;gold_compatible=True
c	Oesophagus|Epithelial cell -> keratinocyte	margin=1.358;confident=True;gold_compatible=None
c	Eye|Epithelial cell -> corneal epithelial cell	margin=1.343;confident=True;gold_compatible=None
c	Kidney|B cell -> mature B cell	margin=1.335;confident=True;gold_compatible=None
c	Blood|Haematopoietic stem cell -> CD34-positive, CD38-negative hematopoietic stem cell	margin=1.326;confident=True;gold_compatible=True
c	Bronchi|Macrophage -> alternatively activated macrophage	margin=1.323;confident=True;gold_compatible=None
c	Lung|Treg cell -> natural T-regulatory cell	margin=1.320;confident=True;gold_compatible=None
c	Skin|Keratinocyte -> hair follicular keratinocyte	margin=1.317;confident=True;gold_compatible=None
c	Bone_marrow|Monocyte -> CD14-positive monocyte	margin=1.308;confident=True;gold_compatible=True
c	Bronchi|Vascular smooth muscle cell -> smooth muscle cell of the pulmonary artery	margin=1.303;confident=True;gold_compatible=None
c	Bladder|Urothelial cell -> umbrella cell of urothelium	margin=1.302;confident=True;gold_compatible=None
c	Lung|Fibroblast -> CL:4052030	margin=1.301;confident=True;gold_compatible=None
c	Skin|Myeloid cell -> myeloid dendritic cell	margin=1.300;confident=False;gold_compatible=None
c	Blood|Haematopoietic stem and progenitor cell -> granulocyte monocyte progenitor cell	margin=1.282;confident=False;gold_compatible=False
c	Nose|Secretory epithelial cell -> nasal mucosa goblet cell	margin=1.273;confident=False;gold_compatible=None
c	Kidney|Endothelial cell -> vein endothelial cell	margin=1.270;confident=False;gold_compatible=None
c	Bronchi|Secretory cell -> tracheobronchial goblet cell	margin=1.270;confident=False;gold_compatible=None
c	Brain|Excitatory neuron -> L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	margin=1.267;confident=False;gold_compatible=None
c	Liver|Endothelial cell -> endothelial stalk cell	margin=1.261;confident=False;gold_compatible=True
c	Skin|ILC -> group 3 innate lymphoid cell	margin=1.259;confident=False;gold_compatible=None
c	Heart|Lymphoid cell -> CD8-positive, alpha-beta T cell	margin=1.255;confident=False;gold_compatible=None
c	Liver|Lymphoid cell -> mucosal invariant T cell	margin=1.250;confident=False;gold_compatible=True
c	Ureter|T cell -> cytotoxic T cell	margin=1.230;confident=False;gold_compatible=None
c	Placenta|Stromal cell -> embryonic fibroblast	margin=1.230;confident=False;gold_compatible=None
c	Blood|NK cell -> CD16-positive, CD56-dim natural killer cell, human	margin=1.227;confident=False;gold_compatible=True
c	Brain|Neuron -> amacrine cell	margin=1.217;confident=False;gold_compatible=None
c	Spleen|Macrophage -> Kupffer cell	margin=1.206;confident=False;gold_compatible=None
c	Kidney|Epithelial cell -> kidney proximal convoluted tubule epithelial cell	margin=1.175;confident=False;gold_compatible=None
c	Lung|Monocyte -> classical monocyte	margin=1.157;confident=False;gold_compatible=None
c	Ureter|Urothelial cell -> intermediate cell of urothelium	margin=1.157;confident=False;gold_compatible=None
c	Brain|Progenitor cell -> classical monocyte	margin=1.157;confident=False;gold_compatible=None
c	Uterus|T cell -> CD4-positive, alpha-beta memory T cell	margin=1.154;confident=False;gold_compatible=None
c	Uterine_tube|Epithelial cell -> stratified epithelial cell	margin=1.154;confident=False;gold_compatible=None
c	Vessel|Endothelial cell -> vein endothelial cell	margin=1.148;confident=False;gold_compatible=None
c	Adipose|Adipocyte -> adipocyte of omentum tissue	margin=1.148;confident=False;gold_compatible=None
c	Spinal_cord|Neuron -> GABAergic neuron	margin=1.147;confident=False;gold_compatible=None
c	Liver|Myeloid cell -> macrophage	margin=1.143;confident=False;gold_compatible=True
c	Heart|Vascular endothelial cell -> cardiac blood vessel endothelial cell	margin=1.140;confident=False;gold_compatible=None
c	Intestine|B cell -> germinal center B cell	margin=1.140;confident=False;gold_compatible=None
c	Spleen|B cell -> small pre-B-II cell	margin=1.137;confident=False;gold_compatible=None
c	Lymph_node|Naive T cell -> naive thymus-derived CD8-positive, alpha-beta T cell	margin=1.137;confident=False;gold_compatible=None
c	Kidney|T cell -> mature NK T cell	margin=1.137;confident=False;gold_compatible=None
c	Blood|CD4 Treg -> memory regulatory T cell	margin=1.136;confident=False;gold_compatible=True
c	Bone_marrow|Granulocyte -> basophil	margin=1.136;confident=False;gold_compatible=True
c	Heart|Adipocyte -> subcutaneous adipocyte	margin=1.129;confident=False;gold_compatible=None
c	Liver|B cell -> late pro-B cell	margin=1.128;confident=False;gold_compatible=True
c	Spleen|CD8 Trm -> CD8-positive, alpha-beta memory T cell, CD45RO-positive	margin=1.125;confident=False;gold_compatible=None
